,start,end,url,expanded_url,display_url,images,status,title,description,unwound_url,id,author_id,text,created_at,retweet_count,reply_count,like_count,quote_count,reference_type,reference_id,media_key
379,225,248,https://t.co/2LttTZ2DNh,https://www.oregonlive.com/timbers/2022/12/portland-timbers-sign-brazilian-midfielder-evander-in-club-record-transfer.html,oregonlive.com/timbers/2022/1…,"[{'url': 'https://pbs.twimg.com/news_img/1599811173666656256/EXr18pqr?format=jpg&name=orig', 'width': 1280, 'height': 869}, {'url': 'https://pbs.twimg.com/news_img/1599811173666656256/EXr18pqr?format=jpg&name=150x150', 'width': 150, 'height': 150}]",200,Portland Timbers sign Brazilian midfielder Evander in club-record transfer,The Timbers add a lethal piece to their attacking midfield in 24-year-old Evander.,https://www.oregonlive.com/timbers/2022/12/portland-timbers-sign-brazilian-midfielder-evander-in-club-record-transfer.html,1599811171787628544,326913251,"BREAKING: The Timbers have signed Brazilian midfielder Evander in a club-record deal.

Evander, 24, joins the team for a roughly $10 million transfer fee. He’ll be one of two DPs for the Timbers next season, I’m told. #RCTID https://t.co/2LttTZ2DNh",2022-12-05T17:01:21.000Z,12,8,150,4,,,
380,,,,,,,,,,,1599530033873555456,326913251,@heartsoftimber Dario Zuparic and David Ayala.,2022-12-04T22:24:12.000Z,0,0,3,1,replied_to,1599529444892295169,
381,203,226,https://t.co/pmrw2K81ac,https://twitter.com/RyanTClarke/status/1599425623029469185/photo/1,pic.twitter.com/pmrw2K81ac,,,,,,1599425623029469185,326913251,"The most important storyline of the PTFC offseason: weddings!

@AljazIvacic became the third Timbers player to get married in the past month, tying the knot yesterday. Congrats, Aljaz and Rebeka! #RCTID https://t.co/pmrw2K81ac",2022-12-04T15:29:19.000Z,3.0,6.0,134.0,1.0,,,3_1599425616020852737
382,203,226,https://t.co/pmrw2K81ac,https://twitter.com/RyanTClarke/status/1599425623029469185/photo/1,pic.twitter.com/pmrw2K81ac,,,,,,1599425623029469185,326913251,"The most important storyline of the PTFC offseason: weddings!

@AljazIvacic became the third Timbers player to get married in the past month, tying the knot yesterday. Congrats, Aljaz and Rebeka! #RCTID https://t.co/pmrw2K81ac",2022-12-04T15:29:19.000Z,,,,,,,3_1599425616113082368
383,,,,,,,,,,,1599067919673327617,326913251,#USMNT outclassed in every phase. Brutal first half.,2022-12-03T15:47:55.000Z,0,4,17,0,,,
384,255,278,https://t.co/2ntIN9nKS9,https://www.opb.org/article/2022/12/01/merritt-paulson-to-sell-portland-thorns-after-damning-reports-of-widespread-abuse-in-league/,opb.org/article/2022/1…,"[{'url': 'https://pbs.twimg.com/news_img/1598460782374965248/3anTkhNM?format=jpg&name=orig', 'width': 1200, 'height': 675}, {'url': 'https://pbs.twimg.com/news_img/1598460782374965248/3anTkhNM?format=jpg&name=150x150', 'width': 150, 'height': 150}]",200,Merritt Paulson to sell Portland Thorns after damning reports of widespread abuse in league,"Merritt Paulson, owner of the Portland Thorns and Timbers, has announced that he will sell the women’s soccer team but maintain ownership of the men’s team. We what’s at stake and what comes next.",https://www.opb.org/article/2022/12/01/merritt-paulson-to-sell-portland-thorns-after-damning-reports-of-widespread-abuse-in-league/,1598812144061272064,326913251,"ICYMI: My appearance on @OPBTOL discussing the last 24 hours for PTFC is at the link below.

Listen if you wish, then get some fresh air. Maybe pour yourself a drink tonight. Order in from your favorite takeout spot. You deserve it. #BAONPDX #NWSL #RCTID https://t.co/2ntIN9nKS9",2022-12-02T22:51:34.000Z,3,2,35,0,replied_to,1598724856476237824,
385,,,,,,,,,,,1598751325327855616,326913251,@_bengelo_ @PDXToddDiskin It’s seriously so good. Preserves are fire. Fav breakfast spot in PHX.,2022-12-02T18:49:53.000Z,0,0,4,0,replied_to,1598750415830802432,
386,121,144,https://t.co/5rddKd98w2,https://twitter.com/RyanTClarke/status/1598726455911145472/photo/1,pic.twitter.com/5rddKd98w2,,,,,,1598726455911145472,326913251,@PDXToddDiskin I had an outstanding chorizo and egg scramble this morning at Matt’s Big Breakfast before the news broke. https://t.co/5rddKd98w2,2022-12-02T17:11:04.000Z,0,3,24,0,replied_to,1598725838929039361,3_1598726442908405762
387,,,,,,,,,,,1598724856476237824,326913251,"I’ll be on @OPBTOL today around 12-12:15 to discuss today’s breaking news regarding the Thorns, and about my prior conversation with Merritt Paulson on his decision to sell the team. #BAONPDX #NWSL",2022-12-02T17:04:43.000Z,1,3,9,0,replied_to,1598718195556573184,
388,244,267,https://t.co/X8QUps4k94,https://www.oregonlive.com/portland-thorns/2022/12/portland-thorns-coach-rhian-wilkinson-resigning-after-investigation-clears-her-of-player-relationship.html,oregonlive.com/portland-thorn…,"[{'url': 'https://pbs.twimg.com/news_img/1598716927622406145/gFYY8vsq?format=jpg&name=orig', 'width': 1280, 'height': 853}, {'url': 'https://pbs.twimg.com/news_img/1598716927622406145/gFYY8vsq?format=jpg&name=150x150', 'width': 150, 'height': 150}]",200,Portland Thorns coach Rhian Wilkinson resigning after investigation clears her of player relationship,Wilkinson said she and one of her players shared feelings for each other in mid-October but that things went no further than that.,https://www.oregonlive.com/portland-thorns/2022/12/portland-thorns-coach-rhian-wilkinson-resigning-after-investigation-clears-her-of-player-relationship.html,1598718195556573184,326913251,"Here is our initial story from today’s bombshell news that Rhian Wilkinson is resigning as Thorns coach.

I’m on vacation in Phoenix and without my laptop, so big shoutout to @joel__odom for putting this together.

More to come. #BAONPDX #NWSL https://t.co/X8QUps4k94",2022-12-02T16:38:15.000Z,7,3,54,3,,,
389,13,36,https://t.co/EPT1y6aH8z,https://twitter.com/rhirhi8/status/1598694089003655168/photo/1,pic.twitter.com/EPT1y6aH8z,,,,,,1598701730036080640,326913251,RT @rhirhi8: https://t.co/EPT1y6aH8z,2022-12-02T15:32:49.000Z,112,0,0,0,retweeted,1598694089003655168,3_1598694086491381760
390,,,,,,,,,,,1598701669952339968,326913251,"This is devastating, on every front. #BAONPDX #NWSL",2022-12-02T15:32:35.000Z,10,13,280,0,,,
391,30,53,https://t.co/eoavvJ2LrB,https://twitter.com/RyanTClarke/status/1598696883261943808/photo/1,pic.twitter.com/eoavvJ2LrB,,,,,,1598696883261943808,326913251,#BAONPDX #NWSL @itsmeglinehan https://t.co/eoavvJ2LrB,2022-12-02T15:13:33.000Z,3.0,3.0,40.0,5.0,replied_to,1598695722224082945,3_1598696876655509504
392,30,53,https://t.co/eoavvJ2LrB,https://twitter.com/RyanTClarke/status/1598696883261943808/photo/1,pic.twitter.com/eoavvJ2LrB,,,,,,1598696883261943808,326913251,#BAONPDX #NWSL @itsmeglinehan https://t.co/eoavvJ2LrB,2022-12-02T15:13:33.000Z,,,,,,,3_1598696876647202818
393,30,53,https://t.co/eoavvJ2LrB,https://twitter.com/RyanTClarke/status/1598696883261943808/photo/1,pic.twitter.com/eoavvJ2LrB,,,,,,1598696883261943808,326913251,#BAONPDX #NWSL @itsmeglinehan https://t.co/eoavvJ2LrB,2022-12-02T15:13:33.000Z,,,,,,,3_1598696876659732480
